"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","朋友圈文案输入关键词","case","2026-09-26","broken","2026-09-26","TestXingcanCreate","test_xingcan_create","",""
"完整链路:自动拉起微信 → 进入云泽智语 → 校验大标题 + 底部 4 tab
        (失败在 assert_home 里就抛错),截图留证","0","进入小程序后首页正常展示","case","2026-09-26","broken","2026-09-26","TestYunzeHome","test_yunze_home","",""
"填好(或故意留空)→ 点登录 → 断言:① 没登进小程序 ② 提示文案符合该情形。

        ⚠️ 「密码错误」那条对真账号是一次真实失败尝试,一轮只跑一次。","0","登录失败-手机号全非数字","case","2026-09-26","broken","2026-09-26","TestRufengMiniLogin","test_rufeng_mini_login","",""
"上一条刚登录成功,这条把账号退出来。

        实测(2026-09-17):退出登录**没有二次确认**,点完直接生效;
        退出后**停在首页**(不是登录页),底部 tab 都还在、「我的」页变成
        「登录/注册」+「剩余对话次数:0」。","0","退出登录-我的→欢迎回来→退出登录,回到首页且我的页变登录/注册","case","2026-09-26","broken","2026-09-26","TestRufengMiniLogin","test_rufeng_mini_login","",""
"","0","电影推荐-生成结果","case","2026-09-26","broken","2026-09-26","TestZhiweiSkill","test_zhiwei_skill","",""
"详情页「创作」,字段 `*简要描述`","0","小红书文案输入简要描述并立即生成","case","2026-09-26","broken","2026-09-26","TestXinglianCreate","test_xinglian_create","",""
"点「AI绘画」→ 详情页「AI绘画」→ 填 `*描述词` → 立即生成 → 截图 → 返回","0","AI绘画输入描述词并立即生成","case","2026-09-26","broken","2026-09-26","TestXinglianSkill","test_xinglian_skill","",""
"填好(或故意留空)→ 点登录 → 断言:① 没登进小程序 ② 提示文案符合该情形。

        ⚠️ 「密码错误」那条对真账号是一次真实失败尝试,一轮只跑一次。","0","登录失败-密码错误","case","2026-09-26","broken","2026-09-26","TestRufengMiniLogin","test_rufeng_mini_login","",""
"点底部「技能」tab → 校验 SKILL_NAMES 里的 3 个入口都在 → 截图留证。
        **不消耗配额**","0","技能tab展示AI入口","case","2026-09-26","broken","2026-09-26","TestXinglianSkill","test_xinglian_skill","",""
"完整链路:自动拉起微信 → 进入星灿智话(落在首页)→ 校验大标题
        「星灿智话」+ 底部 4 个 tab(顺序是 首页/创作/技能/我的,和云泽不同)
        → 点输入框 → 注入提示词 → 点上箭头(发送)→ 断言对话区出现新消息。

        输入栏的发送按钮是绿色圆形的上箭头,右边是圆形「+」—— 和云泽智语
        (上箭头 + 「...」)图标不同,但位置一致,所以直接沿用云泽的定位方式
        (按屏幕边距反推,不做 OCR 认图标)。","0","首页输入提示词点击发送","case","2026-09-26","broken","2026-09-26","TestXingcanHome","test_xingcan_home","",""
"","0","产品描述输入产品名称","case","2026-09-26","broken","2026-09-26","TestXingcanCreate","test_xingcan_create","",""
"点底部「技能」tab → 校验 SKILL_NAMES 里的 3 个入口都在(finder 内置重试)
        → 截图留证。**不消耗配额**","1","技能tab展示AI入口","case","2026-09-26","broken","2026-09-26","TestRufengMiniSkill","test_rufeng_mini_skill","",""
"","0","淘宝好评输入商品名称和卖点并生成","case","2026-09-26","broken","2026-09-26","TestYunzeCreate","test_yunze_create","",""
"填正确手机号 + 正确密码 → 勾协议 → 点登录 → 断言底部 4 个 tab 出来(进到小程序里)
        → 再断言首页大标题「如风智绘」在 → 截图留证。

        **必须放在失败那批之后**:失败的情形不改状态(还停在登录页),
        这条跑完账号就是已登录,后面的首页用例正好接着跑。","0","登录-手机号密码正确则登录成功并进入首页","case","2026-09-26","broken","2026-09-26","TestRufengMiniLogin","test_rufeng_mini_login","",""
"","0","英文写作输入写作内容","case","2026-09-26","broken","2026-09-26","TestXingcanCreate","test_xingcan_create","",""
"完整链路:点输入框 → 注入提示词 → 点发送 → 断言消息上屏,截图留证。
        ⚠️ 这家的输入栏图标/位置还没单独标定过(继承的是云泽那套按边距反推的),
        跑不通就得重新标 —— 失败截图会留下来。","0","首页输入提示词点击发送","case","2026-09-26","broken","2026-09-26","TestXingyunHome","test_xingyun_home","",""
"详情页「创作」,字段 `*地点`;另有**选项字段** `*语言输出`(中文/英语/
        韩语/泰语),用 taps 点掉其中的「中文」","0","旅游计划输入地点并选语言后立即生成","case","2026-09-26","broken","2026-09-26","TestXinglianCreate","test_xinglian_create","",""
"","0","诗词创作输入主题内容","case","2026-09-26","broken","2026-09-26","TestXingcanCreate","test_xingcan_create","",""
"完整链路:自动拉起微信 → 进入星联助手 → 校验大标题 + 底部 4 tab
        (失败在 assert_home 里就抛错),截图留证","0","进入小程序后首页正常展示","case","2026-09-26","broken","2026-09-26","TestXinglianHome","test_xinglian_home","",""
"","0","短视频脚本-生成结果","case","2026-09-26","broken","2026-09-26","TestZhiweiSkill","test_zhiwei_skill","",""
"工作总结是三字段页:岗位名称 + 工作成果简述(无*标签)+ *字数要求。

        「*字数要求」是必填项:不填的话点「立即生成」按钮没反应、生成不启动,
        用例会一直等到 180s 超时(2026-09-11 实测踩到)。输入框里那行「200字」
        是灰色占位提示(右侧计数器显示 0/200),不是默认值,所以直接填即可。
        它的输入框在 y≈1805,超出了 fill_field 原来写死的校验条带(700-1400),
        条带已一并放宽到 2100。","0","工作总结输入岗位、成果与字数要求并生成","case","2026-09-26","broken","2026-09-26","TestYunzeCreate","test_yunze_create","",""
"详情页「创作」,字段 `*电影主题`","0","电影推荐电影主题并立即查询","case","2026-09-26","broken","2026-09-26","TestXingyunCreate","test_xingyun_create","",""
"⚠️ 消耗 2 条对话配额(「继续」是否额外消耗待实测确认)","0","AI问答-两轮问答(第1轮答完点继续续写,第2轮点加号新建会话)","case","2026-09-26","broken","2026-09-26","TestRufengMiniChat","test_rufeng_mini_chat","",""
"","0","工作总结-三字段输入-生成结果","case","2026-09-26","broken","2026-09-26","TestZhiweiSkill","test_zhiwei_skill","",""
"点「AI绘画」→ 详情页「AI绘画」→ 填 `*描述词` → 立即生成 → 截图 → 返回","0","AI绘画输入描述词并立即生成","case","2026-09-26","broken","2026-09-26","TestXingyunSkill","test_xingyun_skill","",""
"","0","论文资料输入论文主题","case","2026-09-26","broken","2026-09-26","TestXingcanCreate","test_xingcan_create","",""
"链路:进创作 → 日报生成器 → 输入工作内容 → 选日报类型 →
        点「立即生成」等出内容 → 截图 → 退出","0","日报生成器输入工作内容并生成","case","2026-09-26","broken","2026-09-26","TestYunzeCreate","test_yunze_create","",""
"多控件页:*地点 是文本输入;*语言输出 是**选项**(韩语/泰语/中文/英语),
        点选不是输入 —— 交给 create_entry 的 taps 参数","0","旅游计划输入地点并选语言","case","2026-09-26","broken","2026-09-26","TestXingcanCreate","test_xingcan_create","",""
"*生成类型(汇总/日报/周报/月报)是选项控件,点选;
        页面标题本身叫「周报日报」也含「日报」二字,tap_text 取最下方那个才对","0","周报日报输入职位、工作内容并选生成类型","case","2026-09-26","broken","2026-09-26","TestXingcanCreate","test_xingcan_create","",""
"填好(或故意留空)→ 点登录 → 断言:① 没登进小程序 ② 提示文案符合该情形。

        ⚠️ 「密码错误」那条对真账号是一次真实失败尝试,一轮只跑一次。","0","登录失败-手机号位数多","case","2026-09-26","broken","2026-09-26","TestRufengMiniLogin","test_rufeng_mini_login","",""
"完整链路:自动拉起 APP → 等「创作」tab 出现 → 点击 →
        校验进入创作页(失败在 click_creation 里就抛错),截图留证","0","启动后进入创作页","case","2026-09-26","broken","2026-09-26","TestRufengCreate","test_rufeng_create","",""
"进创作 → 英文写作助手 → 校验详情页 → 输入内容 →
        点「立即生成」等出内容 → 截图 → 退出","0","英文写作助手输入写作内容并生成","case","2026-09-26","broken","2026-09-26","TestYunzeCreate","test_yunze_create","",""
"","0","广告文案输入产品要求并生成","case","2026-09-26","broken","2026-09-26","TestYunzeCreate","test_yunze_create","",""
"点「AI视频」(视频生成那张卡)→ 详情页「视频生成」→ 填视频场景
        → 点「立即生成」(跳记录页,不等生成完成)→ 截图 → 返回列表","0","AI视频输入视频场景并立即生成","case","2026-09-26","broken","2026-09-26","TestRufengMiniSkill","test_rufeng_mini_skill","",""
"我的 → 1元1天 → 会员中心 → 选【一元套餐】1元体验 → 勾同意 →
        立即支付 → 确认办理 → 收银台截图 → 退出

        报告里:
        - 「选择【一元套餐】1元体验」→ 附 `rufeng_mini_vip_package.png`(套餐卡片 + 金额)
        - 「走到收银台」那步 → 附**文字证据**(前台 activity 名);
          **收银台本身截不了图** —— 微信支付页禁止截屏(FLAG_SECURE),拍出来是全黑,
          所以那一步没有图。金额还是看上面那张套餐图 ✓
        这样翻报告时一眼能看出""点的是不是一元套餐、金额对不对"" ✓","0","我的-1元会员支付链路(走到收银台,不付款)","case","2026-09-26","broken","2026-09-26","TestRufengMiniVip","test_rufeng_mini_vip","",""
"","0","英文写作助手-生成结果","case","2026-09-26","broken","2026-09-26","TestZhiweiSkill","test_zhiwei_skill","",""
"点底部「应用」tab → 校验 SKILL_NAMES 里的入口都在 → 截图留证。
        **不消耗配额**","0","应用tab展示AI入口","case","2026-09-26","broken","2026-09-26","TestXingyunSkill","test_xingyun_skill","",""
"","0","小红书文案输入简要描述并生成","case","2026-09-26","broken","2026-09-26","TestYunzeCreate","test_yunze_create","",""
"","0","外卖好评输入餐品名称","case","2026-09-26","broken","2026-09-26","TestXingcanCreate","test_xingcan_create","",""
"详情页「创作」,字段 `*写作内容`","0","英文写作助手写作内容并立即查询","case","2026-09-26","broken","2026-09-26","TestXingyunCreate","test_xingyun_create","",""
"零配额:点开海报 → 截图留证 → **点右上角 X 关掉**。
        (不能按返回键 —— 实测 back() 连按 3 次都回不来 ✗)

        **海报是现生成的,要等几十秒**(2026-09-16 实测:点完先出「生成中」转圈浮层,
        十几秒后才出海报,只等 12s 会把已经点对的那次判成失败)。

        **等到确认海报真的开了**再往下走:不开就当场报错,别让后面那个
        ""关闭""动作去盲点坐标 —— 那个 X 和页面顶部「+」几乎重合,盲点会
        **新建会话,把当前对话搞没**(2026-09-16 实测踩到)。","0","消息工具栏-生成海报","case","2026-09-26","broken","2026-09-26","TestRufengMiniToolbar","test_rufeng_mini_toolbar","",""
"点「音乐生成」→ 详情页「音乐创作」→ 填两个字段 → 立即生成 → 截图 → 返回","0","音乐生成输入歌曲名称与描述并立即生成","case","2026-09-26","broken","2026-09-26","TestXingyunSkill","test_xingyun_skill","",""
"","0","视频生成输入视频场景并立即生成","case","2026-09-26","broken","2026-09-26","TestXingcanSkill","test_xingcan_skill","",""
"","0","个性签名输入要求","case","2026-09-26","broken","2026-09-26","TestXingcanCreate","test_xingcan_create","",""
"","0","外卖好评输入餐品名称并生成","case","2026-09-26","broken","2026-09-26","TestYunzeCreate","test_yunze_create","",""
"","0","广告文案-生成结果","case","2026-09-26","broken","2026-09-26","TestZhiweiSkill","test_zhiwei_skill","",""
"详情页「创作」,三个字段 `*岗位名称`/`*工作成果简述`/`*字数要求`","0","工作总结岗位名称与成果并立即生成","case","2026-09-26","broken","2026-09-26","TestRufengMiniCreate","test_rufeng_mini_create","",""
"","0","产品描述-生成结果","case","2026-09-26","broken","2026-09-26","TestZhiweiSkill","test_zhiwei_skill","",""
"填好(或故意留空)→ 点登录 → 断言:① 没登进小程序 ② 提示文案符合该情形。

        ⚠️ 「密码错误」那条对真账号是一次真实失败尝试,一轮只跑一次。","0","登录失败-密码为空","case","2026-09-26","broken","2026-09-26","TestRufengMiniLogin","test_rufeng_mini_login","",""
"详情页「创作」,字段 `*关键词`","0","朋友圈文案关键词并立即生成","case","2026-09-26","broken","2026-09-26","TestRufengMiniCreate","test_rufeng_mini_create","",""
"日报小助手只保留这一条,周报/月报那两条已删(2026-09-14 用户要求)。

        三种类型走的是**同一条生成链路**,只是点选「生成类型」不同,各跑一遍
        没有额外覆盖,还各消耗一次配额 —— 和绘画/视频按比例分三条是同一回事
        (那边的 16:9 / 9:16 也删了,同样只留默认项)。
        注意:留的是默认的「日报」,所以点选动作是个空操作,**生成类型的选择
        本身没有被这条覆盖**;要覆盖它得留「月报」那条(点选会真正切换类型)。","0","日报小助手-日报-生成结果","case","2026-09-26","broken","2026-09-26","TestZhiweiSkill","test_zhiwei_skill","",""
"我的 → 我的收藏 → 截图留证 → 点第一条「取消收藏」→ 断言条目数减一 → 再截图。

        只取消一条(用户要求),所以断言写""条目数减一""而不是""页面空了"" ——
        本来就只有一条时,减一就等于页面清空,两种情况都对。
        列表本来就是空的就跳过:取消收藏得先有东西可取消,先用 test_25 收藏一条。

        判据说明:条目数用「取消收藏」按钮的个数(见 favorite_entries),
        不数条目标题 —— 标题排版没标定过,按钮位置才是稳的。
        页面现场(2026-09-15 截图实证):非空时每条是「问 <提问>」+「答 <回复摘要>」
        +「复制」+「⭐ 取消收藏」,列表末尾有「—— 没有更多了 ——」;
        清空后是空箱子插画 +「没有数据哦~」(没写成断言:只在本来只有 1 条时才走得到,
        验证成本高,先留作注释)","0","我的收藏-取消一条收藏后列表条目减少","case","2026-09-26","broken","2026-09-26","TestZhiweiFavorite","test_zhiwei_mine","",""
"完整链路:点输入框 → 注入提示词 → 点上箭头(发送)→ 断言消息上屏,
        截图留证(发送按钮和输入栏都是纯图标,按 rpx 边距反推,不做 OCR)","0","首页输入提示词点击发送","case","2026-09-26","broken","2026-09-26","TestRufengMiniHome","test_rufeng_mini_home","",""
"","0","小红书文案-生成结果","case","2026-09-26","broken","2026-09-26","TestZhiweiSkill","test_zhiwei_skill","",""
"点「视频生成」→ 详情页「视频生成」→ 填 `*视频场景` → 立即生成 → 截图 → 返回","0","视频生成输入视频场景并立即生成","case","2026-09-26","broken","2026-09-26","TestXingyunSkill","test_xingyun_skill","",""
"详情页「创作」,字段 `*商品名称和卖点`","0","淘宝好评商品名称和卖点并立即查询","case","2026-09-26","broken","2026-09-26","TestXingyunCreate","test_xingyun_create","",""
"详情页「创作」,字段 `*岗位名称`/`*工作成果简述`","0","工作总结输入岗位名称与成果并立即生成","case","2026-09-26","broken","2026-09-26","TestXinglianCreate","test_xinglian_create","",""
"详情页「创作」,字段 `*菜品名称`","0","菜谱大全菜品名称并立即查询","case","2026-09-26","broken","2026-09-26","TestXingyunCreate","test_xingyun_create","",""
"填好(或故意留空)→ 点登录 → 断言:① 没登进小程序 ② 提示文案符合该情形。

        ⚠️ 「密码错误」那条对真账号是一次真实失败尝试,一轮只跑一次。","0","登录失败-未勾协议","case","2026-09-26","broken","2026-09-26","TestRufengMiniLogin","test_rufeng_mini_login","",""
"详情页「创作」,字段 `*工作内容`+`*生成类型`(选项字段,点掉「日报」)。
        **不能复用云泽的 create_daily_report** —— 那个里面写死了入口名
        「日报生成器」,这家的叫「日报小助手」","0","日报小助手工作内容并立即查询","case","2026-09-26","broken","2026-09-26","TestXingyunCreate","test_xingyun_create","",""
"","0","翻译助手输入翻译内容并生成","case","2026-09-26","broken","2026-09-26","TestYunzeCreate","test_yunze_create","",""
"详情页「创作」,字段 `*简要描述`","0","小红书文案简要描述并立即生成","case","2026-09-26","broken","2026-09-26","TestRufengMiniCreate","test_rufeng_mini_create","",""
"完整链路:点输入框 → 注入提示词 → 点发送 → 断言消息上屏,截图留证。
        输入栏和云泽一致(占位「想问我什么?」),所以沿用那套按边距反推的坐标。","0","首页输入提示词点击发送","case","2026-09-26","broken","2026-09-26","TestXinglianHome","test_xinglian_home","",""
"","0","短视频脚本输入视频主题并生成","case","2026-09-26","broken","2026-09-26","TestYunzeCreate","test_yunze_create","",""
"「去开通」那条路:会员中心 → 选【连续包月 ￥29.80/个月】→ 勾同意 →
        立即支付 → 确认办理 → 收银台(不付款)

        和 test_03 是同一条支付链路、不同入口不同套餐(2026-09-16 用户要求)。","0","我的-会员「去开通」选连续包月(走到收银台,不付款)","case","2026-09-26","broken","2026-09-26","TestRufengMiniVip","test_rufeng_mini_vip","",""
"","0","电影推荐输入电影主题并生成","case","2026-09-26","broken","2026-09-26","TestYunzeCreate","test_yunze_create","",""
"","0","音乐创作-生成结果","case","2026-09-26","broken","2026-09-26","TestZhiweiMusic","test_zhiwei_apps","",""
"完整链路:自动拉起微信 → 进入星云智点 → 校验大标题 + 底部 4 tab
        (失败在 assert_home 里就抛错),截图留证","0","进入小程序后首页正常展示","case","2026-09-26","broken","2026-09-26","TestXingyunHome","test_xingyun_home","",""
"旅游计划有语言选项(*语言:中文默认),暂只输入地点","0","旅游计划输入地点并生成","case","2026-09-26","broken","2026-09-26","TestYunzeCreate","test_yunze_create","",""
"","0","菜谱大全输入菜品名称并生成","case","2026-09-26","broken","2026-09-26","TestYunzeCreate","test_yunze_create","",""
"","0","个性签名输入要求并生成","case","2026-09-26","broken","2026-09-26","TestYunzeCreate","test_yunze_create","",""
"","0","节日祝福输入节日","case","2026-09-26","broken","2026-09-26","TestXingcanCreate","test_xingcan_create","",""
"","0","关键词标题输入关键词","case","2026-09-26","broken","2026-09-26","TestXingcanCreate","test_xingcan_create","",""
"两字段页:第二个「具体的话语」不带星号(同云泽的工作成果简述那种)","0","阅读助手输入情境描述与具体话语","case","2026-09-26","broken","2026-09-26","TestXingcanCreate","test_xingcan_create","",""
"填好(或故意留空)→ 点登录 → 断言:① 没登进小程序 ② 提示文案符合该情形。

        ⚠️ 「密码错误」那条对真账号是一次真实失败尝试,一轮只跑一次。","0","登录失败-手机号未注册","case","2026-09-26","broken","2026-09-26","TestRufengMiniLogin","test_rufeng_mini_login","",""
"详情页「创作」,字段 `*菜品名称`","0","菜谱大全输入菜品名称并立即生成","case","2026-09-26","broken","2026-09-26","TestXinglianCreate","test_xinglian_create","",""
"我的 → 历史问答 → 历史记录弹窗(断言副标题)→ 截图 → 点弹窗右上角
        垃圾桶清空 → 断言弹窗里一条记录都不剩 → 截图留证。

        ⚠️ 清空不可撤销;账号里本来就空的话只截图、跳过断言(没东西可删,
        删完还是空的,那样断言等于没验证)","0","我的-历史问答跳转并清空历史记录","case","2026-09-26","broken","2026-09-26","TestZhiweiHistory","test_zhiwei_history_qa","",""
"","0","淘宝好评输入商品名称和卖点","case","2026-09-26","broken","2026-09-26","TestXingcanCreate","test_xingcan_create","",""
"完整链路:自动拉起微信 → 进入如风智绘 → 校验大标题 + 底部 4 tab
        (失败在 assert_home 里就抛错),截图留证","0","进入小程序后首页正常展示","case","2026-09-26","broken","2026-09-26","TestRufengMiniHome","test_rufeng_mini_home","",""
"完整链路:点底部「技能」tab → 校验 AI音乐/AI视频/AI绘画 三个入口
        (find_text OCR 定位,分辨率自适应;找不到抛错),截图留证","0","技能tab展示三个AI入口","case","2026-09-26","broken","2026-09-26","TestYunzeSkill","test_yunze_skill","",""
"上一条(快捷登录)跑完是登录状态,这条**先退出来,再用手机验证码登进去**。

        实测链路(2026-09-17 真机走通):
        我的 → 欢迎回来 → 退出登录 → 我的 → 登录/注册 → 登录页
        → 点「手机验证码登录」→ 填手机号 → **按压**「获取验证码」
        → 出现「58秒」倒计时(证明短信发出去了)→ 从通知里读到「您的验证码为1394」
        → 填码 → **勾协议** → 点登录 → 进首页

        ⚠️ 两个坑:
        1. **「获取验证码」必须按压**(press_ms≈250):瞬时点击毫无反应,连倒计时都不出现
        2. **协议必须勾**:不勾的时候点登录**一点反馈都没有**(实测卡在这,以为是码错了)

        ⚠️ 每跑一次**真发一条短信**(短信是服务端发的,费用算对方的),别连着刷。
        ","0","验证码登录-获取短信验证码后登录成功","case","2026-09-26","broken","2026-09-26","TestRufengMiniLogin","test_rufeng_mini_login","",""
"详情页「创作」,字段 `*写作内容`","0","英文写作助手写作内容并立即生成","case","2026-09-26","broken","2026-09-26","TestRufengMiniCreate","test_rufeng_mini_create","",""
"点「AI音乐」(音乐生成那张卡)→ 详情页「音乐创作」→ 填两个字段
        → 点「立即生成」(跳创作记录页,不等生成完成)→ 截图 → 返回列表","0","AI音乐输入歌曲名称与描述并立即生成","case","2026-09-26","broken","2026-09-26","TestRufengMiniSkill","test_rufeng_mini_skill","",""
"填好(或故意留空)→ 点登录 → 断言:① 没登进小程序 ② 提示文案符合该情形。

        ⚠️ 「密码错误」那条对真账号是一次真实失败尝试,一轮只跑一次。","0","登录失败-手机号含字母","case","2026-09-26","broken","2026-09-26","TestRufengMiniLogin","test_rufeng_mini_login","",""
"三轮问答,每轮生成完就截图;**第 1 轮还要重写 + 收藏 + 生成海报**:
        1) 直接在进入 tab 时的会话里**手输**提问 → **重写**(重新生成、等出结果)
           → 收藏 → 截图 → 生成海报 → 截图 → 关掉海报
        2) 三横线 → 历史问答弹窗 → 右上角「+」新建会话,然后**点欢迎页
           「猜你想问」第一条推荐提问**(不手输,用户 2026-09-15 要求)
        3) 会话页右上角「+」新建会话,手输提问

        收藏 / 重写 / 生成海报都用 bottom=True 取**最新一条**(刚生成的那条):
        第 1 轮续用的是老会话,里面本来就有历史消息,取最上面那条会点到旧消息上。
        注:会真实消耗 4 条对话配额(第 1 轮发送 + 重写,加第 2、3 轮各一条)","0","AI问答-三次问答(新建会话×2,第2轮点猜你想问)","case","2026-09-26","broken","2026-09-26","TestZhiweiHome","test_zhiwei_home","",""
"","0","朋友圈文案输入关键词并生成","case","2026-09-26","broken","2026-09-26","TestYunzeCreate","test_yunze_create","",""
"创作列表的最后一个入口","0","单身狗导师输入文本内容","case","2026-09-26","broken","2026-09-26","TestXingcanCreate","test_xingcan_create","",""
"登录页 →「快捷登录」→ 一切换到「一键快捷登录」模式 → 勾协议 → 点按钮
        → 微信弹隐私指引(首次)点「同意」→ 微信弹「申请获取并验证你的手机号」面板
        → **点手机号那块卡片 = 允许** → 直接进首页。

        ⚠️ 那个授权面板上**没有「允许」按钮** —— 点手机号卡片才是允许,
        下面那个是「不允许」,别点错(2026-09-17 探针实测,差点按字面去找「允许」)。

        ⚠️ 用的是微信号绑定的手机号,和密码登录那个账号是同一个号(实测 193****2933)。","0","快捷登录-微信一键登录(点手机号卡片授权)","case","2026-09-26","broken","2026-09-26","TestRufengMiniLogin","test_rufeng_mini_login","",""
"点 AI视频 → 校验详情页 → 输入视频场景 → 点「立即生成」
        (跳创作记录页,不等生成完成)→ 截图 → 返回列表","0","AI视频输入视频场景并立即生成","case","2026-09-26","broken","2026-09-26","TestYunzeSkill","test_yunze_skill","",""
"点「Ai视频」(视频生成那张卡,app 里卡名就是小写 i)→ 详情页「视频生成」
        → 填 `*视频场景` → 立即生成 → 截图 → 返回","0","Ai视频输入视频场景并立即生成","case","2026-09-26","broken","2026-09-26","TestXinglianSkill","test_xinglian_skill","",""
"AI绘画只跑这一条,16:9 / 9:16 那两条已删(2026-09-14 用户要求)。

        原因:三个比例走的是**同一条生成链路**,各跑一遍没有额外覆盖;
        而且**同一个应用上一次任务还在生成时,再点「立即生成」会被产品拦下**
        (提示「上一次AI任务正在生成中」),连跑必然失败 —— 实测就是这个原因
        表现成""点了按钮页面没反应"",一度被误判成 webview 吞点击。","0","AI绘画-图片比例1:1-生成结果","case","2026-09-26","broken","2026-09-26","TestZhiweiDrawing","test_zhiwei_apps","",""
"","0","翻译助手输入翻译内容","case","2026-09-26","broken","2026-09-26","TestXingcanCreate","test_xingcan_create","",""
"点 AI绘画 → 校验详情页 → 输入描述词 → 点「立即生成」
        (跳创作记录页,不等生成完成)→ 截图 → 返回列表","0","AI绘画输入描述词并立即生成","case","2026-09-26","broken","2026-09-26","TestYunzeSkill","test_yunze_skill","",""
"列表本来就空的话跳过 —— 删完还是空的,断言等于没验证","0","历史对话-逐条删除会话直到清空","case","2026-09-26","broken","2026-09-26","TestRufengMiniHistory","test_rufeng_mini_history_qa","",""
"取消**第一条**(用户要求只取消一条,不是清空全部)","0","我的收藏-取消一条收藏后列表条目减少","case","2026-09-26","broken","2026-09-26","TestRufengMiniMine","test_rufeng_mini_mine","",""
"填好(或故意留空)→ 点登录 → 断言:① 没登进小程序 ② 提示文案符合该情形。

        ⚠️ 「密码错误」那条对真账号是一次真实失败尝试,一轮只跑一次。","0","登录失败-手机号位数少","case","2026-09-26","broken","2026-09-26","TestRufengMiniLogin","test_rufeng_mini_login","",""
"视频生成只跑这一条,16:9 / 9:16 那两条已删(2026-09-14 用户要求)。

        视频比绘画更容易撞上「上一次任务还在生成」:视频生成慢得多,
        连跑三条时后面两条必然被产品拦下 —— 实测 9:16 那条就是这么挂的,
        页面上还会提示「上一次AI视频任务正在生成中」。","0","视频生成-视频比例1:1-生成结果","case","2026-09-26","broken","2026-09-26","TestZhiweiVideo","test_zhiwei_apps","",""
"点「AI绘画」→ 详情页「AI绘画」→ 填描述词 → 立即生成 → 截图 → 返回","0","AI绘画输入描述词并立即生成","case","2026-09-26","broken","2026-09-26","TestRufengMiniSkill","test_rufeng_mini_skill","",""
